ID,GITHUB_ID,GITHUB_URL,USEFULL,COMMENT,PREFERED,GITHUB_OWNER_NAME,GITHUB_PROJECT_NAME,GITHUB_DESCRIPTION,GITHUB_LICENSE,GITHUB_IS_FORK,GITHUB_NR_STARGAZERS,GITHUB_NR_WATCHERS,GITHUB_NR_FORKS,GITHUB_NR_OPEN_ISSUES,GITHUB_REPO_CREATION_DATE,GITHUB_LANGUAGE,GIT_PULL_HASH,GIT_PULL_DATE,GIT_NR_COMMITS,GIT_NR_COMMITTERS,GIT_FIRST_COMMIT_DATE,GIT_LAST_COMMIT_DATE,PROCESSED,
164,27713965,https://github.com/websnarf/bstrlib,,,,websnarf,bstrlib,The Better String Library,bsd-3-clause,0,199,199,39,7,2014-12-08,C,f0ff1e808102a42cdc7204a4bb6fe231a24c4546,2017-11-24,30,9,2014-12-08,2016-11-02,0,
322,27830459,https://github.com/Yubico/pam-u2f,,,,Yubico,pam-u2f,Pluggable Authentication Module (PAM) for U2F,bsd-2-clause,0,184,184,27,4,2014-12-10,C,4fffd29206657df53fcac5a8f1a6858781ae110f,2017-11-24,150,16,2014-12-10,2017-06-16,0,
206,27918935,https://github.com/lxc/lxcfs,,,,lxc,lxcfs,FUSE filesystem for LXC,apache-2.0,0,195,195,78,29,2014-12-12,C,8ccf5651006d1123fc33d1cb752763e3672837ed,2017-11-24,375,26,2014-12-12,2017-11-11,0,
236,27971109,https://github.com/Planeshifter/node-word2vec,,,,Planeshifter,node-word2vec,node.js interface to the Google word2vec tool,apache-2.0,0,193,193,23,5,2014-12-13,C,ea2ce9d80ddd171afc4c62a3659797144047c944,2017-11-24,94,4,2014-12-13,2017-08-29,0,
541,28014351,https://github.com/leechristensen/UnmanagedPowerShell,,,,leechristensen,UnmanagedPowerShell,Executes PowerShell from an unmanaged process,bsd-3-clause,0,159,159,61,0,2014-12-15,C,a04b1f5c4b03badc202f4d8dca4dc41ae9471910,2017-11-24,9,4,2014-12-15,2016-03-17,0,
370,28372498,https://github.com/skeeto/interactive-c-demo,,,,skeeto,interactive-c-demo,Demonstration of interactive C programming,unlicense,0,181,181,24,0,2014-12-23,C,2454536d6f31cebd1593cb94b964da75f3e7e76e,2017-11-24,12,3,2014-12-21,2015-01-16,0,
349,28519975,https://github.com/i3/i3status,,,,i3,i3status,"Generates status bar to use with i3bar, dzen2 or xmobar",bsd-3-clause,0,183,183,114,27,2014-12-26,C,7ea12e3dffef8299fa6f6549820ca67dad4f0b7d,2017-11-24,563,100,2008-10-03,2017-10-06,0,
21,28613742,https://github.com/RobertElderSoftware/recc,,,,RobertElderSoftware,recc,"A collection of compiler, emulator and microkernel tools.",apache-2.0,0,179,179,14,2,2014-12-30,C,b68fd014e909109f88b914c7aef90e924d5da533,2017-11-23,24,2,2014-12-30,2017-01-01,0,
668,28915846,https://github.com/hashcat/princeprocessor,,,,hashcat,princeprocessor,Standalone password candidate generator using the PRINCE algorithm,mit,0,150,150,48,3,2015-01-07,C,f0c101d81bc29bf1483b6ca54ff08a4a5168c8fb,2017-11-24,93,9,2015-01-07,2017-09-29,0,
744,28999132,https://github.com/jbruchon/jdupes,,,,jbruchon,jdupes,A powerful duplicate file finder and an enhanced fork of 'fdupes'.,mit,0,147,147,26,15,2015-01-09,C,af35b4dc00e4d5d8cace1530bd52f64b9eff5060,2017-11-24,432,18,1999-12-25,2017-11-12,0,
